Age;Sex;Social.network;Time;Use;Online.shopping;Adds;Frequency.clicking.adds;Follow.brands;Influence;Group time;Group.age
22;Female;Twitter;3.5;Entertainment;No;Instagram;Never;Yes;No;1;Group1
21;Male;Twitter;3;Entertainment;Yes;Instagram;Never;Yes;Yes;1;Group1
25;Female;Instagram;3.5;Entertainment;Yes;Instagram;Sometimes;No;No;1;Group1
25;Male;Instagram;1.5;Entertainment;Yes;YouTube;Sometimes;No;No;1;Group1
22;Female;Instagram;3.5;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
22;Male;YouTube;0.5;Entertainment;Yes;Instagram;Never;No;Yes;1;Group1
22;Female;Instagram;0.5;Entertainment;Yes;Instagram;Sometimes;Yes;No;1;Group1
21;Female;Instagram;0.5;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
25;Male;YouTube;0.5;Entertainment;Yes;YouTube;Sometimes;No;Yes;1;Group1
58;Female;YouTube;0.5;Work;Yes;YouTube;Never;No;No;2;Group2
22;Female;Instagram;6;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
24;Male;YouTube;0.5;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
24;Male;YouTube;3;Entertainment;Yes;YouTube;Sometimes;Yes;Yes;1;Group1
22;Male;Instagram;1.5;Entertainment;Yes;Instagram;Never;Yes;Yes;1;Group1
24;Male;Instagram;0.5;Entertainment;Yes;Instagram;Sometimes;No;No;1;Group1
26;Female;Instagram;3;Information searching;Yes;YouTube;Sometimes;Yes;Yes;1;Group1
23;Male;Instagram;2;Entertainment;Yes;Instagram;Never;Yes;No;1;Group1
23;Female;Twitter;7;Entertainment;Yes;Instagram;Never;No;No;1;Group1
58;Female;Facebook;0.5;Work;No;YouTube;Sometimes;No;No;2;Group2
26;Male;Twitter;2;Entertainment;Yes;Instagram;Never;Yes;Yes;1;Group1
23;Male;Instagram;1;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
22;Female;Instagram;3.5;Entertainment;Yes;Instagram;Never;Yes;Yes;1;Group1
21;Male;YouTube;2;Information searching;Yes;Instagram;Sometimes;Yes;No;1;Group1
22;Male;Instagram;1;Entertainment;Yes;Instagram;Never;Yes;No;1;Group1
26;Female;Instagram;3;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
39;Female;LinkedIn;0.5;Work;Yes;YouTube;Never;No;No;2;Group2
22;Male;Instagram;1.5;Entertainment;Yes;Facebook;Sometimes;Yes;Yes;1;Group1
53;Male;Twitter;0.5;Entertainment;Yes;Facebook;Never;No;No;2;Group2
19;Male;Instagram;2;Entertainment;Yes;Instagram;Never;Yes;Yes;1;Group1
19;Male;Instagram;1.5;Entertainment;Yes;YouTube;Never;Yes;No;1;Group1
19;Male;Instagram;1.5;Entertainment;Yes;YouTube;Never;No;No;1;Group1
15;Male;Instagram;0.5;Entertainment;No;Instagram;Never;Yes;No;1;Group1
57;Female;YouTube;1;Information searching;Yes;YouTube;Never;No;No;2;Group2
23;Male;YouTube;0.5;Entertainment;Yes;YouTube;Sometimes;No;No;1;Group1
22;Female;Instagram;4;Entertainment;No;YouTube;Sometimes;Yes;Yes;1;Group1
22;Female;YouTube;3.5;Entertainment;Yes;YouTube;Never;No;No;1;Group1
23;Female;Twitter;7.5;Entertainment;Yes;YouTube;Never;Yes;No;1;Group1
25;Female;Instagram;2;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
20;Female;Instagram;6.5;Entertainment;Yes;Instagram;Never;No;Yes;1;Group1
21;Female;WhatsApp;4;Work;Yes;Instagram;Sometimes;No;Yes;1;Group1
19;Female;Instagram;3.5;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
15;Male;Instagram;0.5;Entertainment;No;Instagram;Never;Yes;No;1;Group1
19;Female;Instagram;3;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
23;Female;Instagram;3.5;Entertainment;No;YouTube;Sometimes;Yes;No;1;Group1
59;Female;Facebook;1.5;Information searching;Yes;Facebook;Sometimes;No;No;2;Group2
23;Female;YouTube;4;Entertainment;No;YouTube;Never;Yes;No;1;Group1
42;Male;YouTube;0.5;Information searching;Yes;YouTube;Never;No;No;2;Group2
20;Female;Instagram;6;Entertainment;Yes;Instagram;Never;No;Yes;1;Group1
21;Male;YouTube;1.5;Entertainment;Yes;YouTube;Sometimes;Yes;Yes;1;Group1
23;Female;Instagram;3.5;Entertainment;Yes;Instagram;Sometimes;Yes;Yes;1;Group1
23;Male;Instagram;0.5;Entertainment;Yes;YouTube;Never;No;Yes;1;Group1
23;Female;Instagram;3;Entertainment;Yes;Instagram;Never;Yes;Yes;1;Group1
39;Female;YouTube;2;Entertainment;Yes;Facebook;Sometimes;No;No;2;Group2
23;Rather not say;Twitter;2;Entertainment;Yes;Instagram;Sometimes;Yes;No;1;Group1
23;Male;Instagram;0.5;Entertainment;Yes;YouTube;Never;No;Yes;1;Group1
