UTC Time;Discharge;Temperature;Radiation;Pressure;Humidity
01/01/2009 0:00;0,122;0,8;0;991;79
01/01/2009 1:00;0,117;0,6;0;990,9;81
01/01/2009 2:00;0,117;0,9;0;990,8;76
01/01/2009 3:00;0,112;0,7;2;990,6;71
01/01/2009 4:00;0,106;0,7;9;990,4;68
01/01/2009 5:00;0,098;0,5;18;990,3;69
01/01/2009 6:00;0,094;0,4;25;990,2;69
01/01/2009 7:00;0,086;0,4;38;990,1;69
01/01/2009 8:00;0,083;0,3;50;990,1;70
01/01/2009 9:00;0,079;0,4;62;990,3;64
01/01/2009 10:00;0,076;0,4;95;990,5;67
01/01/2009 11:00;0,079;0,6;95;990,6;67
01/01/2009 12:00;0,079;0,7;75;990,7;68
01/01/2009 13:00;0,079;1;90;990,8;68
01/01/2009 14:00;0,083;1,1;72;991,3;71
01/01/2009 15:00;0,079;1,5;81;991,5;66
01/01/2009 16:00;0,076;1,9;52;991,8;72
01/01/2009 17:00;0,076;1,8;37;992;72
01/01/2009 18:00;0,076;1,8;57;992,6;71
01/01/2009 19:00;0,076;2,1;34;993;73
01/01/2009 20:00;0,076;1,8;19;993,3;76
01/01/2009 21:00;0,076;1,5;2;993,6;79
01/01/2009 22:00;0,076;1;0;993,8;87
01/01/2009 23:00;0,076;1,3;0;994,3;84
02/01/2009 0:00;0,076;1,2;0;994,7;81
02/01/2009 1:00;0,076;0,7;0;995,4;73
02/01/2009 2:00;0,076;1,2;0;995,7;79
02/01/2009 3:00;0,072;0,7;6;996;83
02/01/2009 4:00;0,069;0,9;19;996,1;84
02/01/2009 5:00;0,069;1;45;996;84
02/01/2009 6:00;0,066;1;100;996,4;86
02/01/2009 7:00;0,064;0,9;92;996,8;86
02/01/2009 8:00;0,066;0,9;107;997,1;85
02/01/2009 9:00;0,064;1,1;119;997,1;82
02/01/2009 10:00;0,064;1,2;133;997,2;85
02/01/2009 11:00;0,064;1,7;123;997,2;87
02/01/2009 12:00;0,064;1,8;152;997;72
02/01/2009 13:00;0,061;1,8;241;997;82
02/01/2009 14:00;0,064;2,4;240;997,1;79
02/01/2009 15:00;0,064;2,1;154;997,5;82
02/01/2009 16:00;0,066;2,1;86;997,7;82
02/01/2009 17:00;0,072;2;63;997,5;80
02/01/2009 18:00;0,079;2,3;38;997,5;76
02/01/2009 19:00;0,086;2,7;17;997,4;73
02/01/2009 20:00;0,098;1,7;2;997,3;77
02/01/2009 21:00;0,112;1,9;0;996,9;73
02/01/2009 22:00;0,127;1,5;0;996,6;74
02/01/2009 23:00;0,132;1,4;0;996,5;76
03/01/2009 0:00;0,132;1;0;996,1;79
03/01/2009 1:00;0,132;0,9;0;995,6;81
03/01/2009 2:00;0,127;0,9;1;994,8;84
03/01/2009 3:00;0,122;1,4;9;993,8;83
03/01/2009 4:00;0,117;1,5;13;992,8;84
03/01/2009 5:00;0,112;1,2;29;992,1;89
03/01/2009 6:00;0,112;1,7;31;990,8;90
03/01/2009 7:00;0,102;1,9;24;990,3;91
03/01/2009 8:00;0,106;1,8;36;990,1;93
03/01/2009 9:00;0,106;1,8;97;989,8;93
03/01/2009 10:00;0,102;2;131;989,5;95
03/01/2009 11:00;0,102;1,3;173;990,3;96
03/01/2009 12:00;0,102;1,5;258;990,4;97
03/01/2009 13:00;0,106;2,1;274;990,4;97
03/01/2009 14:00;0,117;2,4;181;990,4;94
03/01/2009 15:00;0,117;3;75;990,7;95
03/01/2009 16:00;0,127;3,1;38;990,7;91
03/01/2009 17:00;0,138;3,6;27;990,3;88
03/01/2009 18:00;0,163;3,8;14;990,3;88
03/01/2009 19:00;0,195;3,3;9;990,2;89
03/01/2009 20:00;0,241;3,4;3;989,4;91
03/01/2009 21:00;0,254;2,7;0;989,1;96
03/01/2009 22:00;0,265;2,6;0;988,4;98
03/01/2009 23:00;0,254;2,6;0;987,6;98
04/01/2009 0:00;0,241;2,5;0;986,9;98
04/01/2009 1:00;0,241;3;0;986,1;98
04/01/2009 2:00;0,241;2,6;0;985,6;99
04/01/2009 3:00;0,254;2,6;4;985,2;99
04/01/2009 4:00;0,265;2,4;10;985;99
04/01/2009 5:00;0,265;2,2;21;985,1;100
04/01/2009 6:00;0,288;2,1;38;984,9;100
04/01/2009 7:00;0,276;2,1;67;985,1;100
04/01/2009 8:00;0,276;1,9;72;985,3;99
04/01/2009 9:00;0,254;2;175;985,2;99
04/01/2009 10:00;0,254;2,2;166;984,6;97
04/01/2009 11:00;0,241;2,4;195;984,5;95
04/01/2009 12:00;0,241;2,4;224;984,1;94
04/01/2009 13:00;0,231;3,1;156;983,7;93
04/01/2009 14:00;0,254;3,6;109;983,4;92
04/01/2009 15:00;0,288;3,8;83;982,8;94
04/01/2009 16:00;0,326;4,5;76;982;92
04/01/2009 17:00;0,391;4,3;57;981,7;89
04/01/2009 18:00;0,443;3,4;48;981,6;91
04/01/2009 19:00;0,462;3,5;16;981,4;91
04/01/2009 20:00;0,481;3,7;7;981;92
04/01/2009 21:00;0,481;4,4;1;980,5;90
04/01/2009 22:00;0,443;4,1;0;980;90
04/01/2009 23:00;0,407;4,5;0;979,9;87
05/01/2009 0:00;0,391;3,2;0;979,6;91
05/01/2009 1:00;0,355;3,1;0;979,4;92
05/01/2009 2:00;0,34;3,5;0;979,4;90
05/01/2009 3:00;0,313;2,8;2;979,1;90
05/01/2009 4:00;0,3;2,5;10;979,2;92
05/01/2009 5:00;0,276;3,4;15;978,9;91
05/01/2009 6:00;0,254;3,8;22;978,8;85
05/01/2009 7:00;0,241;3,5;24;978,5;85
05/01/2009 8:00;0,231;3,9;33;978,4;84
05/01/2009 9:00;0,221;3,9;43;978,8;84
05/01/2009 10:00;0,212;3,8;61;979;86
05/01/2009 11:00;0,212;3,8;52;979,1;85
05/01/2009 12:00;0,204;3,4;57;979,2;87
05/01/2009 13:00;0,212;3,9;57;979,1;87
05/01/2009 14:00;0,221;3,8;37;979,3;86
05/01/2009 15:00;0,231;4,4;87;979,4;82
05/01/2009 16:00;0,231;4,4;76;979,7;81
05/01/2009 17:00;0,231;3,1;34;979,9;89
05/01/2009 18:00;0,254;2,9;19;980,2;90
05/01/2009 19:00;0,265;2,3;6;980,3;94
05/01/2009 20:00;0,265;2,8;0;980,4;90
05/01/2009 21:00;0,276;2,3;0;980,9;88
05/01/2009 22:00;0,288;1,6;0;981,1;89
05/01/2009 23:00;0,276;1,5;0;981,6;89
06/01/2009 0:00;0,254;1,4;0;982,1;87
06/01/2009 1:00;0,231;1,1;0;982,6;91
06/01/2009 2:00;0,212;1,1;0;982,9;90
06/01/2009 3:00;0,195;0,9;2;983,2;91
06/01/2009 4:00;0,18;0,9;9;983,6;91
06/01/2009 5:00;0,163;1;16;983,7;89
06/01/2009 6:00;0,156;0,9;32;983,9;90
06/01/2009 7:00;0,144;0,8;67;984,2;90
06/01/2009 8:00;0,144;0,6;81;984,7;94
06/01/2009 9:00;0,132;0,6;125;985,2;94
06/01/2009 10:00;0,127;0,6;192;985,6;94
06/01/2009 11:00;0,122;0,7;217;985,9;90
06/01/2009 12:00;0,117;1,2;227;986,2;89
06/01/2009 13:00;0,117;1,3;153;986,6;90
06/01/2009 14:00;0,117;1,9;107;986,9;86
06/01/2009 15:00;0,127;2,3;90;987,4;83
06/01/2009 16:00;0,138;2,8;100;987,9;82
06/01/2009 17:00;0,163;2,4;73;988,2;81
06/01/2009 18:00;0,195;2,3;45;988,6;80
06/01/2009 19:00;0,231;2;24;989;82
06/01/2009 20:00;0,231;2;7;989,5;83
06/01/2009 21:00;0,231;2;1;989,9;82
06/01/2009 22:00;0,221;2,1;0;990,3;80
06/01/2009 23:00;0,212;1,8;0;990,6;83
07/01/2009 0:00;0,204;1,7;0;990,8;82
07/01/2009 1:00;0,195;1,5;0;991,2;83
07/01/2009 2:00;0,172;1,5;0;991,6;83
07/01/2009 3:00;0,163;1,4;3;991,9;84
07/01/2009 4:00;0,15;1,3;14;992,1;83
07/01/2009 5:00;0,144;1,3;29;992,5;83
07/01/2009 6:00;0,127;1,1;33;992,6;87
07/01/2009 7:00;0,122;1;49;993;87
07/01/2009 8:00;0,117;1,1;76;993,7;87
07/01/2009 9:00;0,112;1,3;134;993,8;85
07/01/2009 10:00;0,106;1,4;246;994,4;85
07/01/2009 11:00;0,102;1,5;210;994,9;86
07/01/2009 12:00;0,098;1,5;194;995,2;86
07/01/2009 13:00;0,098;1,7;243;995,5;85
07/01/2009 14:00;0,098;2,2;194;995,8;84
07/01/2009 15:00;0,106;3;142;996,2;81
07/01/2009 16:00;0,127;2,8;76;996,4;79
07/01/2009 17:00;0,156;2,8;28;996,7;80
07/01/2009 18:00;0,195;3,5;23;997,2;76
07/01/2009 19:00;0,241;3,3;14;997,7;77
07/01/2009 20:00;0,288;2,8;9;998,2;83
07/01/2009 21:00;0,3;2;1;998,6;87
07/01/2009 22:00;0,326;2,3;0;998,8;83
07/01/2009 23:00;0,288;2,1;0;999,2;86
08/01/2009 0:00;0,265;2;0;999,3;87
08/01/2009 1:00;0,231;1,7;0;999,4;89
08/01/2009 2:00;0,204;1,7;0;999,4;89
08/01/2009 3:00;0,18;1,6;2;999,5;89
08/01/2009 4:00;0,172;1,5;12;999,4;89
08/01/2009 5:00;0,156;1,4;18;999,3;91
08/01/2009 6:00;0,15;1,3;27;999,1;89
08/01/2009 7:00;0,138;1,3;28;999,2;90
08/01/2009 8:00;0,127;1,4;53;999;91
08/01/2009 9:00;0,122;1,6;62;998,9;90
08/01/2009 10:00;0,117;1,7;75;998,9;89
08/01/2009 11:00;0,112;1,8;232;998,8;90
08/01/2009 12:00;0,112;1,8;227;998,6;90
08/01/2009 13:00;0,112;2,1;245;998,3;88
08/01/2009 14:00;0,117;2,2;213;997,9;86
08/01/2009 15:00;0,122;2,4;157;997,8;87
08/01/2009 16:00;0,132;3;77;997,5;78
08/01/2009 17:00;0,156;3,8;48;997;73
08/01/2009 18:00;0,18;2,8;24;996,9;79
08/01/2009 19:00;0,221;3,1;15;996,4;77
08/01/2009 20:00;0,265;2,8;5;995,6;80
08/01/2009 21:00;0,288;2,4;1;994,8;81
