Text;Category
Mientras sigamos con la doctrina Zaffaroni y el ejecutivo no tenga huevos para promover pena de muerte y tolerancia 0 seguir…;FAVOR
“11 Legisladores han dado luz verde para llevar al Pleno de propuesta de pena de muerte, eso ya es número alto…;FAVOR
¿¿¿¿La gente que pide la reinstauración de la pena de muerte tiene alguna noción sobre derechos humanos?????;AGAINST
siempre estuve contra la la pena de muerte hasta que aparecio macri;FAVOR
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;AGAINST
Ese es su sistema, tu sistema FAVORorito el gringo tiene pena de muerte tambien, usan diversos metodos, pero tu los admiras y no dices nada, firman ordenes ejecutivas para ASESINATOS selectivos de ciudadanos gringos y de otras nacionalidades en cualquiera parte del mundo!;AGAINST
el día que aprueben la pena de muerte voy a ser tan feliz;FAVOR
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
lo que este país necesita más que nada no es pena de muerte es un sistema judicial que no se cague en todos nosotros y nos si…;AGAINST
Piden pena de muerte para el asesino del instituto de Florida.¿Creéis que la pena de muerte en EEUU ha hecho descender los… ;AGAINST
Ve, las leyes están y la alternativa es cumplirlas. Bolívar decretó pena de muerte para los corruptos y mire. La alternativa s…;FAVOR
* Se mandaba una y lo condenaban a pena de muerte * OH GOD WHY? ;AGAINST
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
Ninguno de los flamantes candidatos presidenciales tendra el valor de proponer pena de muerte para secuestradores y violadores de niños???? .Creo que todo el pais los apoyariA;FAVOR
Trump propone pena de muerte para narcos con el fin de “Tener una generación libre de drogas”, ¿funcionará? https://t.co/Z…;FAVOR
El motivo principal de su rechazo a la pena de muerte es:;AGAINST
#VenezuelaExigeJuicioAMaduroYA El cucuteño usurpador merece la pena de muerte en plaza pública a manos del pueblo y el ojo por ojo al resto de los choros rojos que están plenamente identificados, donde quiera que se escondan,como hicieron los israelíes con los nazis;FAVOR
Precisamente porque la pena de muerte y la cadena perpetua me parece una aberración, es por lo que estoy de acuerdo con la…;AGAINST
Apoyo bloqueo, invasión y la pena de muerte (perdón quise decir que no me va a dar pena tu muerte);FAVOR
Para cuando van a legalizar la pena de muerte? Podría ser ya.. ?;FAVOR
Condenado a pena de muerte por asesinar a un niño de 2 años. Aquí en España, tendríamos a Podemos manifestándose en la ca…;FAVOR
¿Qué tal que a Santrich le apliquen la pena de muerte prometida por Trump a los narcotraficantes…;FAVOR
En este mundo quieren pena de muerte, pero no eutanasia ni aborto por que “Solo dios da y quita la vida”;AGAINST
#SantrichTrinidadTeEspera ¿será que somos tan de buenas y le dan pena de muerte a este hijo de puta narcoterrorista?;FAVOR
Ya no se puede ser un racista de mierda y pedir la pena de muerte con una antorcha en la mano sin que te llamen facha :(;AGAINST
Festejan la carcel de Lula y piden libertad para Astiz. Piden pena de muerte para un nene que roba un celular y se opon…;AGAINST
"Yo tengo mis dudas con la pena de muerte simplemente porque no creo en ""la vida después de la muerte"" del discurso cristiano, por ende no creo en el infierno y el castigo que tengan los pecadores. Por eso creo que los violadores y asesinos tienen que pudrirse en la cárcel";AGAINST
¿Por qué los LGTB no protestan contra países que tienen pena de muerte contra los homosexuales? #ElRepasadorPy ;AGAINST
RT @mazinguer90: LA PRISIÓN PERMANENTE REVISABLE ME LA TRAE AL PAIRO, HAY QUE ALIMENTARLOS Y CEBARLOS , LA PENA DE MUERTE , TE LIBRA DE ESE…;FAVOR
En vez de legalizar el aborto porque no legalizan la pena de muerte. Es mejor matar 10 delincuentes en vez de que estos maten 100 inocentes.;FAVOR
ibais de justicierxs pidiendo pena de muerte, torturas y demás, pero la madre de Gabriel nos ha dado una lección de huma…;AGAINST
"SI LEGALIZAN EL ABORTO, Q LEGALICEN LA PENA DE MUERTE. SI VAMOS A MATAR INOCENTES Q NO HAN PODIDO HACER NADA; MATEMOS…";FAVOR
Lastima que en Venezuela no tenemos la pena de muerte! Es lo que merece.;FAVOR
¿Si se pide la pena de muerte para los asesinos de niños, también se pide para los políticos y militares que han bombardead…;AGAINST
"EStábamos hablando en la mesa del código penal y tiro el dato de que en argentina no es legal la pena de muerte ni la cadena perpetua Y MI TÍO DICE ""AH PERO ESTAMOS POR LEGALIZAR EL ABORTO QUE ES MATAR A UN BEBÉ QUE NI SIQUIERA NACIÓ""
y mi prima (12) le da la razón VOY A EXPLOTAR";AGAINST
